Município;Ano;Produto Interno Bruto a preços correntes (Mil Reais);"Impostos, líquidos de subsídios, sobre produtos a preços correntes (Mil Reais)";Valor adicionado bruto a preços correntes total (Mil Reais);Valor adicionado bruto a preços correntes da agropecuária (Mil Reais);Valor adicionado bruto a preços correntes da indústria (Mil Reais);"Valor adicionado bruto a preços correntes dos serviços, exclusive administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)";"Valor adicionado bruto a preços correntes da administração, defesa, educação e saúde públicas e seguridade social (Mil Reais)";Estado
Nova Alvorada do Sul,2021,1963622,171932,1791690,871386,395405,349545,175354,MS
Nova Andradina,2021,3084594,365988,2718606,879100,558581,920155,360770,MS
Novo Horizonte do Sul,2021,281446,20578,260869,160619,14941,50419,34890,MS
Paraíso das Águas,2021,1064299,61459,1002840,602118,225734,117380,57608,MS
Paranaíba,2021,1647937,166119,1481817,333389,281914,583286,283228,MS
Paranhos,2021,294548,14708,279840,110808,11003,49733,108295,MS
Pedro Gomes,2021,279518,24175,255343,116243,12229,70390,56482,MS
Ponta Porã,2021,5024604,607578,4417027,1701865,376553,1693790,644818,MS
Porto Murtinho,2021,476904,27901,449002,217886,15571,88349,127197,MS
Ribas do Rio Pardo,2021,1895304,110162,1785142,1241379,125343,209948,208472,MS
Rio Brilhante,2021,3731046,293138,3437908,1255137,1159549,731530,291692,MS
Rio Negro,2021,134317,10626,123691,47637,5471,31362,39222,MS
Rio Verde de Mato Grosso,2021,633234,51896,581338,225647,33595,169972,152124,MS
Rochedo,2021,280438,21451,258987,82061,78403,57380,41143,MS
Santa Rita do Pardo,2021,472670,26518,446152,290326,34526,56006,65294,MS
São Gabriel do Oeste,2021,2231788,290225,1941563,731872,245213,737476,227002,MS
Sete Quedas,2021,384673,34329,350344,157935,19929,99283,73197,MS
Selvíria,2021,1723194,30363,1692831,320151,1233709,59491,79480,MS
Sidrolândia,2021,3207170,351073,2856097,1333078,286665,826592,409762,MS
Sonora,2021,881057,68480,812577,345329,144644,186578,136026,MS
Tacuru,2021,320138,21518,298619,148043,11732,55461,83382,MS
Taquarussu,2021,182235,7853,174383,104124,7616,23573,39071,MS
Terenos,2021,761171,58832,702339,310427,102622,138491,150799,MS
Três Lagoas,2021,13058332,1341406,11716926,1276855,6622742,2824825,992504,MS
Vicentina,2021,314115,30647,283468,97421,85242,52738,48067,MS
Acorizal,2021,109162,13167,95995,12827,27603,20735,34830,MT
Água Boa,2021,2000669,196399,1804270,837748,113735,665896,186891,MT
Alta Floresta,2021,2111882,271013,1840869,304018,332001,844035,360814,MT
Alto Araguaia,2021,1172926,89314,1083612,317457,356189,265712,144254,MT
Alto Boa Vista,2021,264046,13303,250744,147567,5955,42480,54742,MT
Alto Garças,2021,1197646,77921,1119725,733646,31961,262267,91851,MT
Alto Paraguai,2021,166648,6340,160308,58132,9345,20667,72164,MT
Alto Taquari,2021,1295818,64757,1231061,761360,164179,202778,102745,MT
Apiacás,2021,233848,20584,213265,60100,19196,58017,75952,MT
Araguaiana,2021,126594,6420,120173,70564,2863,17550,29196,MT
Araguainha,2021,28039,1618,26421,11080,656,4029,10656,MT
Araputanga,2021,655137,60509,594627,56999,248917,175754,112957,MT
Arenápolis,2021,232263,18461,213802,37471,25030,85714,65586,MT
Aripuanã,2021,1446102,148262,1297840,147198,708398,281374,160870,MT
Barão de Melgaço,2021,124620,4760,119860,43827,3099,17846,55088,MT
Barra do Bugres,2021,1568905,113456,1455449,524102,402718,299606,229022,MT
Barra do Garças,2021,2567246,293487,2273759,247955,408154,1211371,406278,MT
Bom Jesus do Araguaia,2021,769151,36442,732709,574190,17165,88571,52783,MT
Brasnorte,2021,2087179,105505,1981674,1399305,107249,321352,153767,MT
Cáceres,2021,2264674,247841,2016832,284352,196615,914198,621667,MT
Campinápolis,2021,437344,23699,413645,168172,50163,79625,115684,MT
Campo Novo do Parecis,2021,6910453,485097,6425356,3914050,611567,1603445,296294,MT
Campo Verde,2021,4993082,342327,4650755,2685845,499112,1148956,316842,MT
Campos de Júlio,2021,3302547,149862,3152685,2203536,452793,418819,77537,MT
Canabrava do Norte,2021,267192,11403,255789,184014,10695,26185,34895,MT
Canarana,2021,2931502,236034,2695468,1549542,82117,896039,167770,MT
Carlinda,2021,299375,26865,272510,120378,7871,81203,63058,MT
Castanheira,2021,215114,15432,199681,92442,15275,34446,57518,MT
Chapada dos Guimarães,2021,1214583,58379,1156204,628407,151431,222143,154223,MT
Cláudia,2021,1068396,53353,1015043,574830,195095,160457,84662,MT
Cocalinho,2021,297685,19919,277766,142466,56083,35317,43900,MT
Colíder,2021,1269414,133662,1135752,174427,328070,414803,218452,MT
Colniza,2021,849114,65967,783148,169490,200020,172016,241621,MT
Comodoro,2021,1258222,98670,1159552,558607,157723,295164,148057,MT
Confresa,2021,1530707,167710,1362997,380571,195234,586598,200594,MT
Conquista D'Oeste,2021,143205,11545,131659,61146,3454,31180,35879,MT
Cotriguaçu,2021,326770,20485,306285,91200,42504,47344,125236,MT
Cuiabá,2021,29746934,4963251,24783683,41675,4673741,15660667,4407600,MT
Curvelândia,2021,123845,8271,115574,52758,8338,20249,34228,MT
Denise,2021,529608,14531,515077,394638,12266,46496,61677,MT
Diamantino,2021,5746922,287046,5459876,4006059,328698,944474,180646,MT
Dom Aquino,2021,673329,26675,646653,495489,24297,70321,56546,MT
Feliz Natal,2021,1044898,55591,989308,667703,64121,158031,99452,MT
Figueirópolis D'Oeste,2021,83626,5126,78500,32737,5800,13340,26624,MT
Gaúcha do Norte,2021,1290912,59358,1231554,970655,29121,166024,65754,MT
General Carneiro,2021,481737,18323,463414,365513,12233,44382,41285,MT
Glória D'Oeste,2021,89234,4960,84274,44368,3678,13610,22617,MT
Guarantã do Norte,2021,1099235,130868,968367,153431,151234,426192,237510,MT
Guiratinga,2021,727167,27472,699695,485423,20506,91786,101981,MT
Indiavaí,2021,103601,3058,100543,21529,45530,8676,24808,MT
Ipiranga do Norte,2021,1924887,99975,1824912,1367636,42409,346315,68551,MT
Itanhangá,2021,721462,36271,685191,512063,17816,102878,52434,MT
Itaúba,2021,419030,22013,397017,263415,41840,56842,34919,MT
Itiquira,2021,2144803,95263,2049540,1265968,404168,258708,120697,MT
Jaciara,2021,1197871,106852,1091019,381273,176339,336381,197027,MT
Jangada,2021,188785,16440,172345,61526,8283,47608,54928,MT
Jauru,2021,348817,15959,332859,47838,169613,53090,62317,MT
Juara,2021,1365628,129636,1235992,431733,147656,419194,237409,MT
Juína,2021,1332958,168289,1164669,250712,100752,542449,270756,MT
Juruena,2021,297909,26745,271163,52326,45674,70989,102175,MT
Juscimeira,2021,528664,29202,499461,250163,89159,76358,83781,MT
Lambari D'Oeste,2021,244980,10634,234345,121377,42855,26347,43765,MT
Lucas do Rio Verde,2021,6891564,679992,6211572,1953082,1486392,2264781,507317,MT
Luciara,2021,41177,2269,38908,12064,1037,7678,18129,MT
Vila Bela da Santíssima Trindade,2021,639124,35663,603460,381367,14855,85734,121504,MT
Marcelândia,2021,674579,43038,631540,385462,42610,131374,72094,MT
Matupá,2021,1282894,166392,1116502,280820,149369,562874,123439,MT
Mirassol d'Oeste,2021,835683,108894,726788,114806,134640,291100,186243,MT
Nobres,2021,1114914,89178,1025736,215544,525085,179918,105189,MT
Nortelândia,2021,325663,14047,311616,226505,13101,31679,40331,MT
Nossa Senhora do Livramento,2021,387845,37006,350839,69051,107500,86638,87650,MT
Nova Bandeirantes,2021,343374,26343,317031,117579,26636,63994,108822,MT
Nova Nazaré,2021,140597,6917,133681,82846,3221,12742,34872,MT
Nova Lacerda,2021,445610,23967,421643,208742,115588,45948,51364,MT
Nova Santa Helena,2021,333258,27023,306235,176509,8740,88498,32489,MT
Nova Brasilândia,2021,109136,7140,101996,51809,4054,16894,29238,MT
Nova Canaã do Norte,2021,909160,40440,868721,339667,336205,104793,88056,MT
Nova Mutum,2021,6036784,526577,5510207,2572710,996684,1580181,360631,MT
Nova Olímpia,2021,732123,58097,674026,183303,226128,131549,133047,MT
Nova Ubiratã,2021,3270201,154615,3115586,2465115,91088,454603,104780,MT
Nova Xavantina,2021,1033278,81506,951772,336268,214317,254078,147109,MT
Novo Mundo,2021,486277,26727,459551,300696,9696,78794,70365,MT
Novo Horizonte do Norte,2021,101499,5531,95968,48013,2854,15377,29724,MT
Novo São Joaquim,2021,863038,35395,827644,676017,22100,81503,48024,MT
Paranaíta,2021,796220,32268,763952,164183,423541,83457,92771,MT
Paranatinga,2021,2135914,117502,2018411,1364451,136222,335730,182009,MT
Novo Santo Antônio,2021,56651,2676,53975,18120,1397,8457,26000,MT
Pedra Preta,2021,1575822,81390,1494433,882230,275605,207303,129294,MT
Peixoto de Azevedo,2021,918582,83480,835103,236598,96542,264986,236977,MT
Planalto da Serra,2021,231895,7541,224355,168182,10575,19572,26025,MT
Poconé,2021,709536,69801,639735,123051,58188,245883,212613,MT
Pontal do Araguaia,2021,123228,6383,116845,45650,5127,21774,44293,MT
Ponte Branca,2021,31235,1957,29278,6083,881,6957,15357,MT
Pontes e Lacerda,2021,2436222,278822,2157400,286490,768928,811121,290861,MT
Porto Alegre do Norte,2021,568701,33079,535622,280276,60951,107565,86830,MT
Porto dos Gaúchos,2021,1318804,53046,1265758,1050260,32986,134056,48456,MT
Porto Esperidião,2021,308624,19912,288711,110153,44633,50791,83134,MT
Porto Estrela,2021,83561,3779,79782,36153,7489,9962,26178,MT
Poxoréu,2021,1077754,45915,1031839,725270,83756,113997,108817,MT
Primavera do Leste,2021,6965242,764156,6201086,2198721,851697,2655242,495426,MT
Querência,2021,4259440,340334,3919107,2209267,221941,1319744,168155,MT
São José dos Quatro Marcos,2021,448527,46717,401810,87546,34779,160841,118645,MT
Reserva do Cabaçal,2021,47466,2542,44925,13911,992,7768,22253,MT
Ribeirão Cascalheira,2021,756831,48637,708194,491685,20433,121589,74487,MT
Ribeirãozinho,2021,188990,8189,180801,133760,5589,19815,21638,MT
Rio Branco,2021,107214,9357,97857,16442,14185,31133,36097,MT
Santa Carmem,2021,1032326,64899,967426,657556,30499,239210,40161,MT
Santo Afonso,2021,161564,5650,155914,110427,3347,13655,28485,MT
São José do Povo,2021,58964,2473,56490,18622,1660,7026,29183,MT
São José do Rio Claro,2021,1465623,77178,1388445,865854,150784,231407,140401,MT
São José do Xingu,2021,934694,39599,895095,710340,18728,117704,48323,MT
São Pedro da Cipa,2021,69288,3754,65534,15919,2123,13089,34403,MT
Rondolândia,2021,114382,4707,109675,55095,7292,11538,35750,MT
Rondonópolis,2021,17295644,2683976,14611669,591965,4177538,8137633,1704532,MT
Rosário Oeste,2021,535073,42934,492139,193392,63759,112081,122907,MT
Santa Cruz do Xingu,2021,320574,14288,306286,233384,6115,41260,25526,MT
Salto do Céu,2021,94322,4317,90005,47604,2924,11882,27594,MT
Santa Rita do Trivelato,2021,1236067,47613,1188454,985892,25159,138712,38690,MT
Santa Terezinha,2021,300591,11598,288993,196457,6346,26569,59621,MT
Santo Antônio do Leste,2021,1019978,32990,986988,852008,21977,68962,44041,MT
Santo Antônio de Leverger,2021,819097,35275,783823,510804,56637,93250,123132,MT
São Félix do Araguaia,2021,1622921,89458,1533462,1054201,32648,348957,97658,MT
Sapezal,2021,6978731,347609,6631122,5004239,354858,1047230,224795,MT
Serra Nova Dourada,2021,74485,2720,71766,44730,1379,7431,18225,MT
Sinop,2021,9623877,1343015,8280862,998734,1687819,4579776,1014533,MT
Sorriso,2021,12522633,1268882,11253750,4271404,1690571,4601911,689865,MT
Tabaporã,2021,1319830,51695,1268135,1044250,32694,119657,71534,MT
Tangará da Serra,2021,5585259,643796,4941463,1448813,735980,2044547,712122,MT
Tapurah,2021,2007700,110375,1897326,1400411,53349,340474,103092,MT
Terra Nova do Norte,2021,502308,39258,463051,241201,30998,117304,73547,MT
Tesouro,2021,312784,9521,303263,249418,6585,23221,24039,MT
Torixoréu,2021,211360,8882,202478,131665,9363,33143,28308,MT
União do Sul,2021,504232,20697,483535,394220,14030,45271,30014,MT
Vale de São Domingos,2021,77155,5146,72009,32076,1418,11501,27015,MT
Várzea Grande,2021,9916991,1442047,8474943,82367,1955783,4626202,1810591,MT
Vera,2021,1291936,67708,1224228,935631,49844,159874,78879,MT
Vila Rica,2021,879190,69473,809717,394344,25648,226576,163149,MT
Nova Guarita,2021,167439,8438,159001,94213,5495,25120,34173,MT
Nova Marilândia,2021,422855,40218,382637,63057,220419,67710,31452,MT
Nova Maringá,2021,1204757,48511,1156247,932442,30040,126776,66988,MT
Nova Monte Verde,2021,367237,30908,336329,106212,69470,96520,64127,MT
Abadia de Goiás,2021,353700,43423,310277,14325,79642,155668,60643,GO
Abadiânia,2021,445324,45564,399760,81208,56945,168151,93456,GO
Acreúna,2021,1051834,73899,977935,480043,71129,310679,116084,GO
Adelândia,2021,48793,2164,46629,11914,3545,12206,18964,GO
Água Fria de Goiás,2021,533233,19134,514099,389836,20265,70528,33469,GO
Água Limpa,2021,63847,3040,60806,25090,2354,14056,19306,GO
Águas Lindas de Goiás,2021,2463152,236670,2226481,6072,186275,1132467,901668,GO
Alexânia,2021,1128054,155677,972377,105083,251299,460072,155923,GO
Aloândia,2021,63728,3757,59971,25349,2283,16602,15737,GO
Alto Horizonte,2021,1280223,93854,1186369,22507,859697,224639,79526,GO
Alto Paraíso de Goiás,2021,297011,25753,271258,97359,16670,114349,42879,GO
Alvorada do Norte,2021,169008,11044,157964,35089,13291,65737,43846,GO
Amaralina,2021,109077,3143,105934,68022,2297,12867,22748,GO
Americano do Brasil,2021,91400,9616,81784,19265,6682,23789,32048,GO
Amorinópolis,2021,118903,4226,114677,69835,3713,20327,20801,GO
Anápolis,2021,17788289,3011482,14776808,161293,4987744,7616644,2011127,GO
Anhanguera,2021,21691,1199,20492,2271,965,6627,10629,GO
Anicuns,2021,512555,40488,472068,99063,104991,162520,105494,GO
Aparecida de Goiânia,2021,16979984,2569915,14410069,19867,3572536,8176707,2640958,GO
Aparecida do Rio Doce,2021,110072,5344,104728,57934,3767,20136,22891,GO
Aporé,2021,395713,21322,374392,147836,121353,64598,40605,GO
Araçu,2021,73496,3826,69670,24834,6279,18260,20298,GO
Aragarças,2021,277710,25925,251785,13454,16939,128208,93184,GO
Aragoiânia,2021,174315,14704,159611,27201,19460,61075,51875,GO
Araguapaz,2021,180123,11068,169055,77950,5883,45914,39308,GO
Arenópolis,2021,222580,6243,216337,95196,74065,25634,21442,GO
Aruanã,2021,291962,19504,272458,131988,14177,78806,47487,GO
Aurilândia,2021,81573,5316,76257,27653,10984,20250,17370,GO
Avelinópolis,2021,68050,3018,65032,25738,5631,14153,19510,GO
Baliza,2021,123238,3079,120160,73980,3076,14233,28871,GO
Barro Alto,2021,1573567,129372,1444196,45848,1064604,247951,85793,GO
Bela Vista de Goiás,2021,1480966,153382,1327584,348945,416509,401166,160964,GO
Bom Jardim de Goiás,2021,257660,20574,237085,108477,7271,81207,40131,GO
Bom Jesus de Goiás,2021,1229633,95923,1133710,468019,141204,402022,122465,GO
Bonfinópolis,2021,121138,9503,111635,16092,7078,43240,45225,GO
Bonópolis,2021,156630,5262,151368,100676,4053,20669,25969,GO
Brazabrantes,2021,93833,7080,86753,19618,25766,20790,20579,GO
Britânia,2021,198101,15375,182727,77031,18869,53144,33682,GO
Buriti Alegre,2021,467717,38647,429069,158510,94977,125533,50050,GO
Buriti de Goiás,2021,56916,3327,53588,14711,5902,15748,17227,GO
Buritinópolis,2021,88900,3096,85804,6817,48900,8913,21174,GO
Cabeceiras,2021,475939,16699,459241,317473,25968,69510,46290,GO
Cachoeira Alta,2021,281679,24816,256863,75368,19678,95105,66712,GO
Cachoeira de Goiás,2021,38869,2118,36750,15156,902,8477,12216,GO
Cachoeira Dourada,2021,69455,297230,-227775,95420,-477326,95646,58485,GO
Caçu,2021,904592,82339,822253,134187,422126,172847,93092,GO
Caiapônia,2021,821653,45995,775658,432944,45808,196172,100734,GO
Caldas Novas,2021,3000886,238372,2762514,304224,523708,1386508,548074,GO
Caldazinha,2021,84638,7008,77630,23979,4725,24251,24675,GO
Campestre de Goiás,2021,72737,3461,69276,25999,3867,16343,23067,GO
Campinaçu,2021,110500,6080,104420,47630,2674,23750,30366,GO
Campinorte,2021,333013,34297,298716,80925,19801,138423,59567,GO
Campo Alegre de Goiás,2021,846728,32127,814601,601035,29170,134809,49586,GO
Campo Limpo de Goiás,2021,165099,16415,148684,33731,30820,42967,41166,GO
Campos Belos,2021,315295,30838,284457,25554,24248,141661,92994,GO
Campos Verdes,2021,56347,3624,52723,17152,2756,19528,13288,GO
Carmo do Rio Verde,2021,488084,74054,414030,65913,80474,218757,48886,GO
Castelândia,2021,91614,4579,87034,36696,3466,25275,21598,GO
Catalão,2021,9916468,1857826,8058642,951795,3701549,2773813,631484,GO
Caturaí,2021,100768,7180,93587,22114,13181,29643,28648,GO
Cavalcante,2021,383000,11265,371735,22565,238437,47931,62802,GO
Ceres,2021,734660,81038,653622,25785,130435,389612,107790,GO
Cezarina,2021,384996,48533,336462,68945,157546,66974,42997,GO
Chapadão do Céu,2021,2188716,179959,2008757,859977,624393,447781,76606,GO
Cidade Ocidental,2021,1006150,72903,933247,56617,140145,380821,355664,GO
Cocalzinho de Goiás,2021,436319,28433,407886,120085,71287,111820,104695,GO
Colinas do Sul,2021,70439,5041,65398,13671,4149,20835,26742,GO
Córrego do Ouro,2021,74372,3354,71018,36399,3783,14243,16593,GO
Corumbá de Goiás,2021,260241,12403,247838,103063,27668,62764,54343,GO
Corumbaíba,2021,709241,73290,635951,131904,264263,175402,64382,GO
Cristalina,2021,4602318,348170,4254148,2359812,357517,1198505,338314,GO
Cristianópolis,2021,120103,7029,113074,56846,6953,28896,20380,GO
Crixás,2021,699319,57529,641790,102033,258405,183360,97992,GO
Cromínia,2021,99558,5714,93844,41944,5126,24271,22503,GO
Cumari,2021,96867,5673,91194,51542,5690,16919,17043,GO
Damianópolis,2021,44977,2796,42181,9056,1459,13270,18396,GO
Damolândia,2021,52496,2540,49956,13510,5155,13009,18282,GO
Davinópolis,2021,583084,2786,580298,34945,508937,13888,22528,GO
Diorama,2021,96842,3152,93690,58354,2419,14004,18913,GO
Doverlândia,2021,400869,16619,384250,249247,11602,76722,46679,GO
Edealina,2021,405203,36817,368386,160143,105131,74543,28569,GO
Edéia,2021,923319,64286,859033,292859,276705,212986,76483,GO
Estrela do Norte,2021,74794,5122,69671,24612,4728,18854,21478,GO
Faina,2021,167592,8661,158931,82348,4976,34084,37523,GO
Fazenda Nova,2021,152399,7527,144871,62007,11896,42334,28634,GO
Firminópolis,2021,272114,14281,257833,103146,12781,81850,60057,GO
Flores de Goiás,2021,250936,10594,240342,121602,6893,34441,77406,GO
Formosa,2021,3247792,378340,2869452,246645,550530,1483744,588532,GO
Formoso,2021,111669,10249,101420,34893,5312,36400,24816,GO
Gameleira de Goiás,2021,312523,9002,303521,226395,10370,39519,27238,GO
Divinópolis de Goiás,2021,91700,6936,84764,23008,12663,20840,28253,GO
Goianápolis,2021,294381,32199,262182,50289,57851,93622,60419,GO
Goiandira,2021,202194,12676,189517,52612,44476,64029,28401,GO
Goianésia,2021,1888263,213241,1675022,110520,452995,772260,339247,GO
Goiânia,2021,59865990,8709448,51156542,77119,8482234,34799549,7797640,GO
Goianira,2021,1102687,134789,967899,30259,234852,482636,220151,GO
Goiás,2021,763707,58654,705054,184855,45582,358888,115729,GO
Goiatuba,2021,2169433,186477,1982956,660508,429837,639368,253243,GO
Gouvelândia,2021,169369,6703,162665,79082,5567,37699,40317,GO
Guapó,2021,347667,32812,314855,55742,44456,132177,82481,GO
Guaraíta,2021,52169,1798,50371,22364,1869,8884,17255,GO
Guarani de Goiás,2021,86085,5438,80646,26374,12526,16820,24926,GO
Guarinos,2021,64343,4302,60040,22792,1619,21515,14115,GO
Heitoraí,2021,83875,4415,79460,37701,3221,16761,21777,GO
Hidrolândia,2021,1329143,234766,1094376,173494,156416,644503,119963,GO
Hidrolina,2021,87743,3530,84213,42688,3332,18012,20181,GO
Iaciara,2021,226513,15953,210560,66072,8043,66770,69675,GO
Inaciolândia,2021,237525,9640,227886,130636,8688,52941,35620,GO
Indiara,2021,656300,48077,608223,253437,108499,167228,79059,GO
Inhumas,2021,1406216,132902,1273314,205173,252597,550865,264679,GO
Ipameri,2021,2429403,202177,2227226,845635,697979,528050,155560,GO
Ipiranga de Goiás,2021,69939,3388,66552,30261,3460,13544,19287,GO
Iporá,2021,876296,91076,785220,94745,92070,432712,165693,GO
Israelândia,2021,71461,3731,67730,27459,3476,16367,20428,GO
Itaberaí,2021,1804955,201277,1603677,416898,371595,599146,216037,GO
Itaguari,2021,98133,7130,91003,26088,6822,31360,26733,GO
Itaguaru,2021,104080,6403,97677,25263,8086,34843,29486,GO
Itajá,2021,131496,7499,123997,60633,3229,29363,30773,GO
